"state","state_abb","date","candidate","col","row","actual","biden_share","sanders_share","other_share","nth_del"
"California","CA",2020-03-03,"Biden",10,21,TRUE,1,0,0,218
"California","CA",2020-03-03,"Biden",1,22,TRUE,1,0,0,219
"California","CA",2020-03-03,"Biden",2,22,TRUE,1,0,0,220
"California","CA",2020-03-03,"Biden",3,22,TRUE,1,0,0,221
"California","CA",2020-03-03,"Biden",4,22,TRUE,1,0,0,222
"California","CA",2020-03-03,"Biden",5,22,TRUE,1,0,0,223
"California","CA",2020-03-03,"Biden",6,22,TRUE,1,0,0,224
"California","CA",2020-03-03,"Biden",7,22,TRUE,1,0,0,225
"California","CA",2020-03-03,"Biden",8,22,TRUE,1,0,0,226
"California","CA",2020-03-03,"Biden",9,22,TRUE,1,0,0,227
"California","CA",2020-03-03,"Biden",10,22,TRUE,1,0,0,228
"California","CA",2020-03-03,"Biden",1,23,TRUE,1,0,0,229
"California","CA",2020-03-03,"Biden",2,23,TRUE,1,0,0,230
"California","CA",2020-03-03,"Biden",3,23,TRUE,1,0,0,231
"California","CA",2020-03-03,"Biden",4,23,TRUE,1,0,0,232
"California","CA",2020-03-03,"Biden",5,23,TRUE,1,0,0,233
"California","CA",2020-03-03,"Biden",6,23,TRUE,1,0,0,234
"California","CA",2020-03-03,"Biden",7,23,TRUE,1,0,0,235
"California","CA",2020-03-03,"Biden",8,23,TRUE,1,0,0,236
"California","CA",2020-03-03,"Biden",9,23,TRUE,1,0,0,237
"California","CA",2020-03-03,"Biden",10,23,TRUE,1,0,0,238
"California","CA",2020-03-03,"Biden",1,24,TRUE,1,0,0,239
"California","CA",2020-03-03,"Biden",2,24,TRUE,1,0,0,240
"California","CA",2020-03-03,"Biden",3,24,TRUE,1,0,0,241
"California","CA",2020-03-03,"Biden",4,24,TRUE,1,0,0,242
"California","CA",2020-03-03,"Biden",5,24,TRUE,1,0,0,243
"California","CA",2020-03-03,"Biden",6,24,TRUE,1,0,0,244
"California","CA",2020-03-03,"Biden",7,24,TRUE,1,0,0,245
"California","CA",2020-03-03,"Biden",8,24,TRUE,1,0,0,246
"California","CA",2020-03-03,"Biden",9,24,TRUE,1,0,0,247
"California","CA",2020-03-03,"Biden",10,24,TRUE,1,0,0,248
"California","CA",2020-03-03,"Biden",1,25,TRUE,1,0,0,249
"California","CA",2020-03-03,"Biden",2,25,TRUE,1,0,0,250
"California","CA",2020-03-03,"Biden",3,25,TRUE,1,0,0,251
"California","CA",2020-03-03,"Biden",4,25,TRUE,1,0,0,252
"California","CA",2020-03-03,"Biden",5,25,TRUE,1,0,0,253
"California","CA",2020-03-03,"Biden",6,25,TRUE,1,0,0,254
"California","CA",2020-03-03,"Biden",7,25,TRUE,1,0,0,255
"California","CA",2020-03-03,"Biden",8,25,TRUE,1,0,0,256
"California","CA",2020-03-03,"Biden",9,25,TRUE,1,0,0,257
"California","CA",2020-03-03,"Biden",10,25,TRUE,1,0,0,258
"California","CA",2020-03-03,"Biden",1,26,TRUE,1,0,0,259
"California","CA",2020-03-03,"Biden",2,26,TRUE,1,0,0,260
"California","CA",2020-03-03,"Biden",3,26,TRUE,1,0,0,261
"California","CA",2020-03-03,"Biden",4,26,TRUE,1,0,0,262
"California","CA",2020-03-03,"Biden",5,26,TRUE,1,0,0,263
"California","CA",2020-03-03,"Biden",6,26,TRUE,1,0,0,264
"California","CA",2020-03-03,"Biden",7,26,TRUE,1,0,0,265
"California","CA",2020-03-03,"Biden",8,26,TRUE,1,0,0,266
"California","CA",2020-03-03,"Biden",9,26,TRUE,1,0,0,267
"California","CA",2020-03-03,"Biden",10,26,TRUE,1,0,0,268
"California","CA",2020-03-03,"Biden",1,27,TRUE,1,0,0,269
"California","CA",2020-03-03,"Biden",2,27,TRUE,1,0,0,270
"California","CA",2020-03-03,"Biden",3,27,TRUE,1,0,0,271
"California","CA",2020-03-03,"Biden",4,27,TRUE,1,0,0,272
"California","CA",2020-03-03,"Biden",5,27,TRUE,1,0,0,273
"California","CA",2020-03-03,"Biden",6,27,TRUE,1,0,0,274
"California","CA",2020-03-03,"Biden",7,27,TRUE,1,0,0,275
"California","CA",2020-03-03,"Biden",8,27,TRUE,1,0,0,276
"California","CA",2020-03-03,"Biden",9,27,TRUE,1,0,0,277
"California","CA",2020-03-03,"Biden",10,27,TRUE,1,0,0,278
"California","CA",2020-03-03,"Biden",2,28,TRUE,1,0,0,280
"California","CA",2020-03-03,"Biden",3,28,TRUE,1,0,0,281
"California","CA",2020-03-03,"Biden",4,28,TRUE,1,0,0,282
"California","CA",2020-03-03,"Biden",5,28,TRUE,1,0,0,283
