"state","state_abb","date","candidate","col","row","actual","biden_share","sanders_share","other_share"
"California","CA",2020-03-03,"Biden",8,19,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,19,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,20,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,20,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,20,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,20,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,20,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,20,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,20,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,20,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,20,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,21,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,21,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,21,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,21,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,21,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,21,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,21,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,21,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,21,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,22,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,22,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,22,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,22,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,22,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,22,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,22,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,22,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,22,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,23,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,23,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,23,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,23,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,23,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,23,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,23,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,23,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,23,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,24,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,24,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,24,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,24,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,24,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,24,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,24,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,24,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,24,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",10,24,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,25,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,25,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,25,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,25,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,25,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,25,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,25,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,25,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,25,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",10,25,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,26,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,26,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,26,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,26,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,26,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,26,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,26,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,26,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,26,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",10,26,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",1,27,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,27,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,27,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,27,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,27,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,27,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,27,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,27,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,27,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",10,27,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",2,28,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",3,28,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",4,28,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",5,28,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",6,28,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",7,28,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",8,28,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",9,28,TRUE,1,0,0
"California","CA",2020-03-03,"Biden",10,28,TRUE,1,0,0
"California","CA",2020-03-03,"Other",22,11,TRUE,0,0,1
"California","CA",2020-03-03,"Other",23,12,TRUE,0,0,1
"California","CA",2020-03-03,"Other",23,13,TRUE,0,0,1
"California","CA",2020-03-03,"Other",23,14,TRUE,0,0,1
"California","CA",2020-03-03,"Other",24,14,TRUE,0,0,1
"California","CA",2020-03-03,"Other",23,15,TRUE,0,0,1
"California","CA",2020-03-03,"Other",24,15,TRUE,0,0,1
"California","CA",2020-03-03,"Other",23,16,TRUE,0,0,1
"California","CA",2020-03-03,"Other",24,16,TRUE,0,0,1
"California","CA",2020-03-03,"Other",23,17,TRUE,0,0,1
