filename,post,landing-order
2020-11-13-redistricting-changes-for-2020.md,1,1
2020-11-03-election-night-funnel.md,1,2
2020-03-24-dem2020-delegate-map.md,1,3
2018-01-28-sports-dynasties.markdown,1,4
2020-01-02-decade-of-disney.md,1,5
huffman-coding.md,0,6
2017-03-15-ASL-LEX.md,1,7
2019-10-27-how-bills-die.md,1,8
2020-02-10-oscars-best-picture.md,1,9
2019-06-27-trump-electoral-college-visualized.md,1,10
2017-10-07-partisanship-in-football.md,1,11
d3-force.md,0,12
2019-12-31-2019-ff-retrospective.md,1,13
2017-01-02-ultimate-convex-hull.md,1,14
ga-covid-map.md,0,15
spotify-genre-map.md,0,16
2018-08-24-oscar-popular-film.md,1,17
2018-03-03-comparing-obama-trump-on-guns.md,1,18
2017-10-27-confederate-monuments.md,1,19
2017-09-06-evaluating-fantasy-draft.md,1,20
2016-12-21-drunken-world.md,1,21
